,cod_sed,secretaria,codigo_institucion,nombre_institucion,licencia,nit,cod_dpto,departamento,cod_mpio,municipio,localidad,barrio,direccion,telefono,correo_electronico,pagina_web,naturaleza,nombre_representante,certificado_calidad,numero_certificacion,norma,entidad_emisora,estado_certificacion,fecha_otorgamiento,longitud,latitud,año_corte,mes_corte
0,3802,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE CÚCUTA,8153,INSTITUTO DE EDUCACIÓN PARA EL TRABAJO Y DESARROLLO HUMANO CHIPOLOS,1026,13446355-1,54,NORTE DE SANTANDER,54001,CÚCUTA,,,CALLE 9 NO. 3-63 INTERIOR 102,5712537,raul-rojas@hotmail.com,,PRIVADA,RAUL ENRIQUE ROJAS BARAJAS,NO,,,,,,,,2020,11
1,3776,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE FLORENCIA,7546,CORPORACION UNIVERSITARIA MINUTO DE DIOS,10345,800116217-2,18,CAQUETÁ,18001,FLORENCIA,,PABLO VI,Transversal 6  con Calle 12 Avenida Circunvalar Edificio COMFACA,4351239,william.medina@uniminuto.edu,www.uniminuto.edu,PRIVADA,LEONIDASLOPEZ HERRAN,NO,,,,,,,,2020,11
2,3735,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CUNDINAMARCA,3920,CORPORACION EDUCATIVA INSTITUTO TECNICO INSETEC,001804,51948074-1,25,CUNDINAMARCA,25430,MADRID,,Centro,Carrera 7 No. 8-52,091-8281596,institutotecnicoinsetecmadrid@gmail.com,,PRIVADA,GLADYS I.VELANDIA PALOMINO,NO,,,,,,,,2020,11
3,3798,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL NARIÑO,5034,CEINFOS,3611,98345360-1,52,NARIÑO,52885,YACUANQUER,,URBANIZACION EL TRIGAL,URBANIZACION EL TRIGAL,3128352065,pemp2009@yahoo.es,,PRIVADA,PABLOMUÑOZ,NO,,,,,,,,2020,11
4,3776,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE FLORENCIA,7635,INSTITUTO PARA LA FORMACION Y PROYECCION DE TALENTO HUMANO INFORPH,0869,17639941-1,18,CAQUETÁ,18001,FLORENCIA,,BERLIN,Calle 4   Nº.  5C  -  20,3134157065,aplicaciones.edu@gmail.com,,PRIVADA,MANUELRAMIREZ  ESPINOSA,NO,,,,,,,,2020,11
5,3776,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE FLORENCIA,1015,ESCUELA COLOMBIANA DE CIENCIAS EN SALUD FLORENCIA ECSALUD ZOMAC S.A.S.,000052,79201119-8,18,CAQUETÁ,18001,FLORENCIA,,EL CENTRO,CARRERA 11  No  9-42,4355307,ecsaludflorencia10@hotmail.com,,PRIVADA,JOSE RICARDOVIDAL OSSA,NO,,,,,,75.610673,1.611823,2020,11
6,3759,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MEDELLÍN,5846,CENTRO DE CIENCIA Y SENSIBILIZACIÓN AMBIENTAL,15196,9004118161,5,ANTIOQUIA,5001,MEDELLÍN,LA LOMA,,CARRERA 46 N° 60 55,5514921,centrodeciencia@gmail.com,,PRIVADA,SANDRA ELENARENDÓN GÓMEZ,NO,,,,,,,,2020,11
7,3766,SECRETARÍA DE EDUCACIÓN DISTRITO BOGOTÁ,396,FUNDACIÓN CENTRO ELECTRÓNICO DE IDIOMAS FUNCEI,4056,830043858-8,11,BOGOTÁ D.C.,11001,BOGOTÁ,ANTONIO NARIÑO,RESTREPO,CALLE 15 SUR NO 19-08 PISO 2-3,2094466,ceirestrepo@hotmail.com,http://cei.edu.co,PRIVADA,LUIS JAIME PABON MAECHA,NO,,,,,,,,2020,11
8,3819,SECRETARÍA DE EDUCACIÓN MUNICIPAL DE BUENAVENTURA,6786,CORPORACION ESCUELA SUPERIOR DE ADMINISTRACIÓN Y ESTUDIOS TECNOLOGICOS,0904,890309555-3,76,VALLE DEL CAUCA,76109,BUENAVENTURA,,Doña Cesi,Carrera 55 N° 6-30,2420190,coordinacion_buenaventura@eae.edu.co,www.eae.edu.co,PRIVADA,FERNANDOJIMENEZ DUQUE,NO,,,,,,,,2020,11
9,3825,SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CASANARE,9085,ESCUELA DE FORMACIÓN EMPRESARIAL EFE,3189,800013469.9,85,CASANARE,85010,AGUAZUL,,,Carrera 15 No 09-22,038-6387416,scubides@cccasanare.co,,PRIVADA,ZONIA YANET FUENTES CAMARGO,NO,,,,,,,,2020,11
