,CÓDIGO INSTITUCIÓN,NOMBRE INSTITUCIÓN,PRINCIPAL/SECCIONAL,NATURALEZA JURÍDICA,SECTOR,CARÁCTER ACADÉMICO,DEPARTAMENTO DOMICILIO,MUNICIPIO,¿ACREDITADA ALTA CALIDAD?,LAT,LNG,CONTEO
0,1102,universidad nacional de colombia,seccional,nacional,oficial,universidad,antioquia,medellin,no,6.2447,-75.5748,34
1,1103,universidad nacional de colombia,seccional,nacional,oficial,universidad,caldas,manizales,no,5.0661,-75.4847,5
2,1104,universidad nacional de colombia,seccional,nacional,oficial,universidad,valle del cauca,palmira,no,3.5394,-76.3036,4
3,1106,universidad pedagogica y tecnologica de colombia - uptc,principal,nacional,oficial,universidad,boyaca,tunja,si,5.5403,-73.3614,4
4,1107,universidad pedagogica y tecnologica de colombia - uptc,seccional,nacional,oficial,universidad,boyaca,duitama,si,5.8219,-73.0297,1
5,1108,universidad pedagogica y tecnologica de colombia - uptc,seccional,nacional,oficial,universidad,boyaca,sogamoso,si,5.7158,-72.9333,1
6,1109,universidad pedagogica y tecnologica de colombia - uptc,seccional,nacional,oficial,universidad,boyaca,chiquinquira,si,5.6175,-73.8164,1
7,1110,universidad del cauca,principal,nacional,oficial,universidad,cauca,popayan,si,2.4411,-76.6061,6
8,1111,universidad tecnologica de pereira - utp,principal,nacional,oficial,universidad,risaralda,pereira,si,4.8143,-75.6946,6
9,1112,universidad de caldas,principal,nacional,oficial,universidad,caldas,manizales,si,5.0661,-75.4847,5
10,1113,universidad de cordoba,principal,nacional,oficial,universidad,cordoba,monteria,si,8.76,-75.8856,3
11,1114,universidad surcolombiana,principal,nacional,oficial,universidad,huila,neiva,si,2.9275,-75.2875,4
12,1115,universidad de la amazonia,principal,nacional,oficial,universidad,caqueta,florencia,no,1.6142,-75.6117,2
13,1115,universidad de la amazonia,principal,nacional,oficial,universidad,caqueta,florencia,no,1.6822,-77.0722,2
14,1118,universidad tecnologica del choco-diego luis cordoba,principal,nacional,oficial,universidad,choco,quibdo,no,5.6923,-76.6582,2
15,1119,universidad de los llanos,principal,nacional,oficial,universidad,meta,villavicencio,no,4.1425,-73.6294,2
16,1120,universidad popular del cesar,principal,nacional,oficial,universidad,cesar,valledupar,no,10.4603,-73.2597,1
17,1122,universidad del pacifico,principal,nacional,oficial,universidad,valle del cauca,buenaventura,no,3.8772,-77.0267,2
18,1123,universidad popular del cesar,seccional,nacional,oficial,universidad,cesar,aguachica,no,8.3067,-73.6153,1
19,1124,universidad nacional de colombia,seccional,nacional,oficial,universidad,arauca,arauca,si,7.0903,-70.7617,1
