,SECRETARIA,CODIGO_INSTITUCION,NOMBRE_INSTITUCION,COD_DPTO,DEPARTAMENTO,COD_MPIO,MUNICIPIO,NATURALEZA,CERTIFICADO_CALIDAD,LAT,LNG
0,secretaria de educacion municipal de cucuta,8153,instituto de educacion para el trabajo y desarrollo humano chipolos,54,norte de santander,54001,cucuta,privada,no,7.9075,-72.5047
1,secretaria de educacion municipal de florencia,7546,corporacion universitaria minuto de dios,18,caqueta,18001,florencia,privada,no,1.6142,-75.6117
2,secretaria de educacion municipal de florencia,7546,corporacion universitaria minuto de dios,18,caqueta,18001,florencia,privada,no,1.6822,-77.0722
3,secretaria de educacion departamental cundinamarca,3920,corporacion educativa instituto tecnico insetec,25,cundinamarca,25430,madrid,privada,no,4.7306,-74.2639
4,secretaria de educacion departamental nariño,5034,ceinfos,52,nariño,52885,yacuanquer,privada,no,1.115,-77.4022
5,secretaria de educacion municipal de florencia,7635,instituto para la formacion y proyeccion de talento humano inforph,18,caqueta,18001,florencia,privada,no,1.6142,-75.6117
6,secretaria de educacion municipal de florencia,7635,instituto para la formacion y proyeccion de talento humano inforph,18,caqueta,18001,florencia,privada,no,1.6822,-77.0722
7,secretaria de educacion municipal de florencia,1015,escuela colombiana de ciencias en salud florencia ecsalud zomac s.a.s.,18,caqueta,18001,florencia,privada,no,1.6142,-75.6117
8,secretaria de educacion municipal de florencia,1015,escuela colombiana de ciencias en salud florencia ecsalud zomac s.a.s.,18,caqueta,18001,florencia,privada,no,1.6822,-77.0722
9,secretaria de educacion municipal de medellin,5846,centro de ciencia y sensibilizacion ambiental,5,antioquia,5001,medellin,privada,no,6.2447,-75.5748
10,secretaria de educacion distrito bogota,396,fundacion centro electronico de idiomas funcei,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
11,secretaria de educacion municipal de buenaventura,6786,corporacion escuela superior de administracion y estudios tecnologicos,76,valle del cauca,76109,buenaventura,privada,no,3.8772,-77.0267
12,secretaria de educacion departamental casanare,9085,escuela de formacion empresarial efe,85,casanare,85010,aguazul,privada,no,5.1689,-72.5467
13,secretaria de educacion departamental cordoba,7046,"centro de estudios tecnicos ""ceprodent""",23,cordoba,23672,san antero,privada,no,9.3775,-75.7603
14,secretaria de educacion municipal de yopal,6829,fundacion tecnica de colombia,85,casanare,85001,yopal,privada,no,5.3306,-72.3906
15,secretaria de educacion distrito bogota,9131,institucion de educacion para el trabajo y el desarrollo humano corpoiberoamericana s.a.s,11,bogota d.c.,11001,bogota,privada,no,4.6126,-74.0705
